date,users,new_users,earnings,clicks
01/07/2023,39,32,3.71,10
02/07/2023,157,130,33.46,112
03/07/2023,195,169,10.56,50
04/07/2023,84,68,3.12,16
05/07/2023,67,58,10.15,27
06/07/2023,122,109,13.72,52
07/07/2023,58,49,3.39,15
08/07/2023,45,38,1.84,10
09/07/2023,62,49,9.16,24
10/07/2023,197,170,24.18,78
11/07/2023,198,169,19.19,65
12/07/2023,199,168,22.06,83
13/07/2023,152,128,23.42,64
14/07/2023,125,96,11.43,52
15/07/2023,62,45,8.55,28
16/07/2023,73,57,4.5,22
17/07/2023,94,77,4.66,18
18/07/2023,189,155,21.6,75
19/07/2023,191,146,27.73,116
20/07/2023,197,169,13.99,58
21/07/2023,162,123,20.37,64
22/07/2023,49,38,8.04,15
23/07/2023,55,46,4.45,23
24/07/2023,78,68,6.58,23
25/07/2023,55,48,1.44,8
26/07/2023,108,90,17.99,50
27/07/2023,64,51,4.54,16
28/07/2023,92,70,8.84,37
29/07/2023,43,28,3.3,19
30/07/2023,59,46,2.69,12
31/07/2023,107,80,8.69,38
01/08/2023,63,45,6.24,31
02/08/2023,32,24,1.35,7
03/08/2023,19,15,2.11,9
04/08/2023,15,15,0.0,0
05/08/2023,235,214,7.63,42
06/08/2023,138,115,4.24,23
07/08/2023,210,185,7.11,40
08/08/2023,165,138,5.49,35
09/08/2023,279,230,11.44,74
10/08/2023,299,212,20.09,99
11/08/2023,163,121,4.52,40
12/08/2023,191,147,11.9,60
13/08/2023,220,163,8.12,59
14/08/2023,174,140,5.74,57
15/08/2023,115,86,2.17,21
16/08/2023,294,246,14.82,110
17/08/2023,148,113,4.35,37
18/08/2023,112,92,4.1,32
19/08/2023,93,72,4.14,26
20/08/2023,140,112,20.48,63
21/08/2023,237,180,49.93,100
22/08/2023,139,99,10.88,45
23/08/2023,125,91,11.07,42
24/08/2023,113,91,10.42,34
25/08/2023,188,143,19.29,88
26/08/2023,79,64,5.24,28
27/08/2023,130,107,12.77,45
28/08/2023,285,209,36.44,132
29/08/2023,304,240,28.22,133
30/08/2023,132,104,11.1,43
31/08/2023,101,71,15.97,51
01/09/2023,80,68,9.73,31
02/09/2023,55,47,5.85,27
03/09/2023,67,54,22.43,23
04/09/2023,63,52,6.8,23
05/09/2023,77,57,12.39,40
06/09/2023,23,11,6.22,13
07/09/2023,70,51,9.36,36
08/09/2023,16,11,2.33,5
09/09/2023,34,24,2.6,12
10/09/2023,40,28,3.9,22
11/09/2023,27,20,1.48,8
12/09/2023,9,6,0.02,0
13/09/2023,373,323,24.39,69
14/09/2023,185,153,3.61,15
15/09/2023,123,102,4.04,22
16/09/2023,376,322,23.25,79
17/09/2023,677,565,46.25,178
18/09/2023,1086,868,93.54,371
19/09/2023,827,623,61.09,260
20/09/2023,553,417,31.6,180
21/09/2023,526,389,39.36,183
22/09/2023,460,325,39.88,121
23/09/2023,328,238,24.86,101
24/09/2023,296,213,22.71,86
25/09/2023,546,411,42.3,180
26/09/2023,539,416,52.15,198
27/09/2023,488,353,35.72,168
28/09/2023,493,349,30.48,167
29/09/2023,435,302,33.34,161
30/09/2023,218,164,23.55,98
01/10/2023,241,161,15.9,98
02/10/2023,374,267,23.42,148
03/10/2023,366,267,12.98,57
04/10/2023,301,228,7.96,43
05/10/2023,279,196,12.63,47
06/10/2023,339,238,13.41,42
07/10/2023,222,157,15.11,33
08/10/2023,219,156,14.06,26
09/10/2023,333,260,20.98,36
10/10/2023,301,247,13.87,45
11/10/2023,227,173,9.81,32
12/10/2023,211,159,14.15,31
13/10/2023,260,195,12.72,40
14/10/2023,78,51,4.79,9
15/10/2023,291,229,16.13,55
16/10/2023,227,171,6.28,21
17/10/2023,358,265,16.45,69
18/10/2023,790,632,46.58,140
19/10/2023,517,376,24.82,86
20/10/2023,443,317,23.04,93
21/10/2023,317,225,18.98,67
22/10/2023,406,281,22.84,106
23/10/2023,658,477,33.41,145
24/10/2023,609,397,36.79,185
25/10/2023,228,128,13.26,57
26/10/2023,347,229,24.51,94
27/10/2023,271,196,12.21,60
28/10/2023,214,147,6.57,34
29/10/2023,300,205,21.21,86
30/10/2023,336,227,27.42,108
31/10/2023,221,155,17.35,62
01/11/2023,208,142,11.12,28
02/11/2023,458,337,34.57,97
03/11/2023,276,208,16.0,54
04/11/2023,184,134,9.31,32
05/11/2023,178,137,5.39,16
06/11/2023,283,210,18.01,54
07/11/2023,285,204,12.6,38
08/11/2023,263,203,8.98,38
09/11/2023,314,237,10.9,32
10/11/2023,292,223,15.7,53
11/11/2023,162,119,3.81,13
12/11/2023,139,98,4.52,17
13/11/2023,252,184,7.1,24
14/11/2023,257,182,8.1,25
15/11/2023,90,53,5.49,27
16/11/2023,87,61,4.69,11
17/11/2023,45,27,2.72,7
18/11/2023,326,244,23.26,31
19/11/2023,164,119,8.09,20
20/11/2023,276,200,12.16,34
21/11/2023,264,181,11.2,31
22/11/2023,258,183,11.6,30
23/11/2023,188,128,8.1,20
24/11/2023,296,211,17.22,48
25/11/2023,132,94,5.25,12
26/11/2023,134,100,5.67,27
27/11/2023,390,281,11.66,70
28/11/2023,273,180,6.39,43
29/11/2023,153,113,2.84,18
30/11/2023,47,30,1.02,5
01/12/2023,20,15,0.05,0
02/12/2023,33,27,0.28,2
03/12/2023,32,26,0.03,1
04/12/2023,34,25,0.08,1
05/12/2023,38,30,0.15,1
06/12/2023,27,19,0.6,3
07/12/2023,15,12,0.03,0
08/12/2023,9,5,0.03,0
09/12/2023,34,24,0.26,2
10/12/2023,24,16,0.56,2
11/12/2023,21,14,0.05,1
12/12/2023,12,12,0.02,1
13/12/2023,12,8,0.08,1
14/12/2023,12,8,0.01,0
15/12/2023,17,10,0.03,0
16/12/2023,4,2,0.0,0
17/12/2023,6,4,0.01,0
18/12/2023,7,6,0.02,0
19/12/2023,8,6,0.01,0
20/12/2023,7,6,0.03,0
21/12/2023,8,7,0.0,0
22/12/2023,8,6,0.11,2
23/12/2023,5,3,0.2,1
24/12/2023,6,5,0.0,0
25/12/2023,8,6,0.02,1
26/12/2023,6,5,0.0,0
27/12/2023,10,8,0.01,0
28/12/2023,7,6,0.0,0
29/12/2023,13,12,0.08,1
30/12/2023,12,12,0.0,0
31/12/2023,5,4,0.0,0
