Date,Users,New Users,Earnings (EUR),Page views,Page RPM (EUR),Impressions,Impression RPM (EUR),Active View Viewable,Clicks
01/07/2023,39,32,3.71,231,16.05,468,7.92,0.6688,10
02/07/2023,157,130,33.46,1020,32.81,2203,15.19,0.6966,112
03/07/2023,195,169,10.56,898,11.76,1922,5.5,0.6702,50
04/07/2023,84,68,3.12,341,9.14,894,3.49,0.6831,16
05/07/2023,67,58,10.15,337,30.13,762,13.32,0.6922,27
06/07/2023,122,109,13.72,813,16.87,1668,8.22,0.6598,52
07/07/2023,58,49,3.39,356,9.52,780,4.34,0.6693,15
08/07/2023,45,38,1.84,195,9.44,466,3.95,0.6782,10
09/07/2023,62,49,9.16,373,24.55,820,11.17,0.6892,24
10/07/2023,197,170,24.18,1330,18.18,2965,8.15,0.6752,78
11/07/2023,198,169,19.19,1162,16.52,2607,7.36,0.6842,65
12/07/2023,199,168,22.06,1635,13.49,3412,6.47,0.7181,83
13/07/2023,152,128,23.42,981,23.87,1996,11.73,0.7123,64
14/07/2023,125,96,11.43,853,13.4,1956,5.84,0.6593,52
15/07/2023,62,45,8.55,436,19.6,996,8.58,0.6802,28
16/07/2023,73,57,4.5,673,6.68,1453,3.1,0.6743,22
17/07/2023,94,77,4.66,519,8.98,1157,4.03,0.6629,18
18/07/2023,189,155,21.6,1333,16.21,2892,7.47,0.6958,75
19/07/2023,191,146,27.73,1327,20.9,2899,9.57,0.6921,116
20/07/2023,197,169,13.99,1248,11.21,2697,5.19,0.6845,58
21/07/2023,162,123,20.37,1142,17.84,2339,8.71,0.7109,64
22/07/2023,49,38,8.04,215,37.38,487,16.5,0.6963,15
23/07/2023,55,46,4.45,311,14.32,625,7.12,0.7279,23
24/07/2023,78,68,6.58,382,17.23,918,7.17,0.6748,23
25/07/2023,55,48,1.44,203,7.11,480,3.01,0.682,8
26/07/2023,108,90,17.99,1018,17.67,2229,8.07,0.6982,50
27/07/2023,64,51,4.54,330,13.76,735,6.18,0.7078,16
28/07/2023,92,70,8.84,576,15.35,1277,6.92,0.7074,37
29/07/2023,43,28,3.3,318,10.37,713,4.63,0.7359,19
30/07/2023,59,46,2.69,353,7.63,724,3.72,0.6791,12
31/07/2023,107,80,8.69,760,11.44,1631,5.33,0.6929,38
01/08/2023,63,45,6.24,501,12.45,1153,5.41,0.6915,31
02/08/2023,32,24,1.35,140,9.65,302,4.47,0.6907,7
03/08/2023,19,15,2.11,112,18.8,244,8.63,0.6725,9
04/08/2023,15,15,0,42,0.02,102,0.01,0.6939,0
05/08/2023,235,214,7.63,1409,5.41,3227,2.36,0.6775,42
06/08/2023,138,115,4.24,873,4.86,1980,2.14,0.655,23
07/08/2023,210,185,7.11,1150,6.18,2725,2.61,0.6714,40
08/08/2023,165,138,5.49,862,6.37,2165,2.54,0.6629,35
09/08/2023,279,230,11.44,1663,6.88,3528,3.24,0.7008,74
10/08/2023,299,212,20.09,2178,9.23,4717,4.26,0.6826,99
11/08/2023,163,121,4.52,923,4.9,2094,2.16,0.6933,40
12/08/2023,191,147,11.9,1392,8.55,3094,3.84,0.6914,60
13/08/2023,220,163,8.12,1454,5.58,3076,2.64,0.6914,59
14/08/2023,174,140,5.74,1120,5.12,2529,2.27,0.6834,57
15/08/2023,115,86,2.17,622,3.49,1449,1.5,0.6809,21
16/08/2023,294,246,14.82,2225,6.66,4920,3.01,0.6855,110
17/08/2023,148,113,4.35,945,4.61,2100,2.07,0.6799,37
18/08/2023,112,92,4.1,804,5.09,1741,2.35,0.6907,32
19/08/2023,93,72,4.14,696,5.95,1099,3.77,0.7814,26
