# start_date: 01.07.2023,
# end_date: 31.12.2023,
Grupo principal de canais da sessão (Agrupamento de canais padrão),Sessões
Direct,14587
Organic Search,9714
Referral,8229
Unassigned,128
Organic Social,92
Email,15
,
,
# start_date: 01.07.2023,
# end_date: 31.12.2023,
País,Usuários
PT,25326
BR,499
ES,82
FR,56
US,54
CN,47
AO,45
,
,
,
# start_date: 01.07.2023,
# end_date: 31.12.2023,
Título da página e classe da tela,Visualizações
Barganha Portugal Classificados Vagas de Emprego Portugal,63688
"Barganha Emprego Portugal - Oferta de emprego, dicas profissionais",59196
Área do Candidato Barganha Empregos portugal,7416
Search :: Barganha Portugal Classificados Empregos,6702
Operário Fabril - Fabrica de Produtos Alimentares - Produção (SINTRA) :: Barganha Portugal Classificados Empregos,5553
Recruta-se Operador(a) Fabril,5479
Emprego Operador de linha de produção,5164
Rececionista e Administrativa vaga de emprego Portugal,3654
Search :: Barganha Portugal Classificados Empregos Anuncios Venda,3533
Minhas entrevistas,3495
Candidatura Assistente Operacional Barganha Empregos,3491
Contrata-se colaboradores para restauração,3239
Atendente full-time para café,3076
Recepcionista (m/f) (regime Night-Audit)-Hotel em Lisboa :: Barganha Portugal Classificados Empregos,2951
Contrata para inicio imediato rececionista hotel lisboa,2939
Grupo hoteleiro recruta para Lisboa,2932
Fale Connosco Barganha Empregos Portugal,2638
Login :: Barganha Portugal Classificados Empregos,2182
Empregado de mesa para inicio imediato Barganha Empregos Portugal,2160
Recruta-se Empregado de mesa Cova Funda,1999
Barganha Portugal Classificados Empregos Anuncios,1980
Registo de utilizador :: Barganha Portugal Classificados Empregos,1950
Contrata-se Porteiro para Lisboa,1832
Colaboradores para Bar - Hotel 5* :: Barganha Portugal Classificados Empregos Anuncios Venda,1812
Colaborador para fazer Manutenção de edifícios (M/F) -,1804
Serviço Apoio ao Cliente 08H-23H :: Barganha Portugal Classificados Empregos,1575
Emprego de Barista em Lisboa,1222
Vaga para Atendente de balcão,1207
Precisa-se Vigilantes (Zona da Amadora/Alfragide) (m/f),1095
Serviço Apoio ao Cliente 08H-23H :: Barganha Portugal Classificados Empregos Anuncios Venda,1087
Vaga Emprego para Assistente Administrativo,932
Colaboradores para Bar - Hotel 5* :: Barganha Portugal Classificados Empregos,860
Vaga Gestor Comercial Lisboa - Contact center,744
Dicas Mercado Profissional Barganha Lisboa,717
Precisa-se Ama/Babysitter (fins de semana),686
Barman (M/F) :: Barganha Portugal Classificados Empregos,663
Ama/Babysitter :: Barganha Portugal Classificados Empregos,647
Anúncio Gratuito vagas de Emprego Barganha Portugal,630
"Dicas Profissionais para o dia-a-dia, profissão, emprego, estudos Lisboa",531
Vaga Team Leader B2B - telecomunicações :: Barganha Portugal Classificados Empregos Anuncios Venda,381
Vaga para Assistente de Loja,286
10 dicas para ter sucesso numa entrevista de emprego,280
Vaga Team Leader B2B - telecomunicações :: Barganha Portugal Classificados Empregos,271
Cheque-Formação + Digital 750€,255
Ama/Babysitter :: Barganha Portugal Classificados Empregos Anuncios Venda,253
Operador de Call Center (M/F),242
Empregado de Limpeza Vaga de Emprego,241
Distribuidor de Publicidade Lisboa emprego freelancer,238
Gestor comercial FREELANCER emprego Marketing Digital,227
Copeiro (M/F),223
Recuperação de palavra passe :: Barganha Portugal Classificados Empregos,212
Emprego no Estrangeiro,201
Aprenda a fazer um currículo sem experiência,179
Empregados de mesa em Lisboa :: Barganha Portugal Classificados Empregos,166
Novo IRS Jovem pode dar sete salários extra em cinco anos :: Barganha Portugal Classificados Empregos,165
404 - Página não encontrada :: Barganha Portugal Classificados Empregos,153
Rececionista 1* e 2* hotel :: Barganha Portugal Classificados Empregos,152
Administrativa Part-time,147
Operário Fabril - Fabrica de Produtos Alimentares - Produção (SINTRA) :: Barganha Portugal Classificados Empregos Anuncios Venda,139
Vagas de emprego Administrativo Comercial (m/f) - Lisboa,138
"Subsídio de desemprego: regras, prazos e valores",132
Ajudante de Cozinha Qua-Seg 12H00-20H00 (m/f) :: Barganha Portugal Classificados Empregos,129
Emprego Vaga para Designer Grafico / Marketing Digital,128
Rececionista 1* e 2* hotel :: Barganha Portugal Classificados Empregos Anuncios Venda,128
Colaborador Armazém- Carregal do Sal M/F :: Barganha Portugal Classificados Empregos,123
Emprego Barganha Portugal,121
Como fazer um bom Currículo Barganha Empregos,115
