Date,Estimated earnings (EUR),Page views,Page RPM (EUR),Impressions,Impression RPM (EUR),Active View Viewable,Clicks
2023-07-01,3.71,231,16.05,468,7.92,0.6688,10
2023-07-02,33.46,1020,32.81,2203,15.19,0.6966,112
2023-07-03,10.56,898,11.76,1922,5.50,0.6702,50
2023-07-04,3.12,341,9.14,894,3.49,0.6831,16
2023-07-05,10.15,337,30.13,762,13.32,0.6922,27
2023-07-06,13.72,813,16.87,1668,8.22,0.6598,52
2023-07-07,3.39,356,9.52,780,4.34,0.6693,15
2023-07-08,1.84,195,9.44,466,3.95,0.6782,10
2023-07-09,9.16,373,24.55,820,11.17,0.6892,24
2023-07-10,24.18,1330,18.18,2965,8.15,0.6752,78
2023-07-11,19.19,1162,16.52,2607,7.36,0.6842,65
2023-07-12,22.06,1635,13.49,3412,6.47,0.7181,83
2023-07-13,23.42,981,23.87,1996,11.73,0.7123,64
2023-07-14,11.43,853,13.40,1956,5.84,0.6593,52
2023-07-15,8.55,436,19.60,996,8.58,0.6802,28
2023-07-16,4.50,673,6.68,1453,3.10,0.6743,22
2023-07-17,4.66,519,8.98,1157,4.03,0.6629,18
2023-07-18,21.60,1333,16.21,2892,7.47,0.6958,75
2023-07-19,27.73,1327,20.90,2899,9.57,0.6921,116
2023-07-20,13.99,1248,11.21,2697,5.19,0.6845,58
2023-07-21,20.37,1142,17.84,2339,8.71,0.7109,64
2023-07-22,8.04,215,37.38,487,16.50,0.6963,15
2023-07-23,4.45,311,14.32,625,7.12,0.7279,23
2023-07-24,6.58,382,17.23,918,7.17,0.6748,23
2023-07-25,1.44,203,7.11,480,3.01,0.682,8
2023-07-26,17.99,1018,17.67,2229,8.07,0.6982,50
2023-07-27,4.54,330,13.76,735,6.18,0.7078,16
2023-07-28,8.84,576,15.35,1277,6.92,0.7074,37
2023-07-29,3.30,318,10.37,713,4.63,0.7359,19
2023-07-30,2.69,353,7.63,724,3.72,0.6791,12
2023-07-31,8.69,760,11.44,1631,5.33,0.6929,38
2023-08-01,6.24,501,12.45,1153,5.41,0.6915,31
2023-08-02,1.35,140,9.65,302,4.47,0.6907,7
2023-08-03,2.11,112,18.80,244,8.63,0.6725,9
2023-08-04,0.00,42,0.02,102,0.01,0.6939,0
2023-08-05,7.63,1409,5.41,3227,2.36,0.6775,42
2023-08-06,4.24,873,4.86,1980,2.14,0.655,23
2023-08-07,7.11,1150,6.18,2725,2.61,0.6714,40
2023-08-08,5.49,862,6.37,2165,2.54,0.6629,35
2023-08-09,11.44,1663,6.88,3528,3.24,0.7008,74
2023-08-10,20.09,2178,9.23,4717,4.26,0.6826,99
2023-08-11,4.52,923,4.90,2094,2.16,0.6933,40
2023-08-12,11.90,1392,8.55,3094,3.84,0.6914,60
2023-08-13,8.12,1454,5.58,3076,2.64,0.6914,59
2023-08-14,5.74,1120,5.12,2529,2.27,0.6834,57
2023-08-15,2.17,622,3.49,1449,1.50,0.6809,21
2023-08-16,14.82,2225,6.66,4920,3.01,0.6855,110
2023-08-17,4.35,945,4.61,2100,2.07,0.6799,37
2023-08-18,4.10,804,5.09,1741,2.35,0.6907,32
2023-08-19,4.14,696,5.95,1099,3.77,0.7814,26
2023-08-20,20.48,1058,19.36,1881,10.89,0.7591,63
2023-08-21,49.93,1676,29.79,2853,17.50,0.7768,100
2023-08-22,10.88,886,12.28,1559,6.98,0.7429,45
2023-08-23,11.07,865,12.80,1480,7.48,0.7735,42
2023-08-24,10.42,827,12.60,1508,6.91,0.7612,34
2023-08-25,19.29,1520,12.69,2564,7.52,0.7902,88
2023-08-26,5.24,631,8.31,1104,4.75,0.7742,28
2023-08-27,12.77,586,21.78,1079,11.83,0.7972,45
2023-08-28,36.44,2266,16.08,3961,9.20,0.7816,132
2023-08-29,28.22,2196,12.85,3674,7.68,0.786,133
2023-08-30,11.10,804,13.81,1288,8.62,0.8189,43
2023-08-31,15.97,702,22.75,1074,14.87,0.8055,51
2023-09-01,9.73,528,18.44,798,12.20,0.8,31
2023-09-02,5.85,392,14.93,633,9.25,0.8048,27
2023-09-03,22.43,333,67.37,562,39.92,0.8104,23
2023-09-04,6.80,359,18.95,620,10.97,0.7401,23
2023-09-05,12.39,663,18.69,1071,11.57,0.8486,40
2023-09-06,6.22,103,60.41,172,36.18,0.7917,13
2023-09-07,9.36,615,15.23,945,9.91,0.8298,36
2023-09-08,2.33,95,24.54,153,15.24,0.7703,5
2023-09-09,2.60,59,44.13,93,28.00,0.914,12
2023-09-10,3.90,391,9.97,567,6.88,0.8071,22
2023-09-11,1.48,164,9.00,288,5.13,0.7597,8
2023-09-12,0.02,29,0.53,42,0.36,0.7073,0
2023-09-13,24.39,1994,12.23,1747,13.96,0.9608,69
2023-09-14,3.61,1266,2.85,500,7.22,0.9573,15
2023-09-15,4.04,740,5.46,515,7.85,0.8353,22
2023-09-16,23.25,2515,9.25,2934,7.93,0.7144,79
2023-09-17,46.25,4952,9.34,6081,7.61,0.6901,178
2023-09-18,93.54,7947,11.77,10263,9.11,0.6886,371
2023-09-19,61.09,6232,9.80,8439,7.24,0.6707,260
2023-09-20,31.60,3780,8.36,5094,6.20,0.7001,180
2023-09-21,39.36,3470,11.34,4901,8.03,0.679,183
2023-09-22,39.88,3115,12.80,3762,10.60,0.6949,121
